ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	SOURCE_COGNATE_CLASS	PARTIAL	PARTIALID	CLPA	CONCEPTICON_ID	GLOTTOLOG
2234	Hangzhou	cold	len⁵³	l e n ⁵³	202	冷	冷	1190	554 1089 107 1185	1287	wuch1236
2235	Hangzhou	cold	ʔin⁴⁴⁵	ʔ i n ⁴⁴⁵	203	瀴	瀴	1191	409 1076 107 1180	1287	wuch1236
2236	Guangzhou	cold	toŋ³³	t o ŋ ³³	204	冻	冻	1192	120 887 801 1161	1287	yuec1235
2237	Nanchang	cold	lɑŋ²¹³	l ɑ ŋ ²¹³	202	冷	冷	1190	554 952 801 1154	1287	ganc1239
2238	Chengdu	cold	nən⁵³	n ə n ⁵³	202	冷	冷	1190	107 1022 107 1185	1287	mand1415
2239	Taoyuan	cold	twəŋ⁴⁵	t w ə ŋ ⁴⁵	204	冻	冻	1192	120 462 1022 801 1181	1287	hakk1236
2240	Shexian	cold	lɛ³⁵	l ɛ ³⁵	202	冷	冷	1190	554 1121 1165	1287	hui1242
2241	Beijing	cold	ləŋ²¹⁴	l ə ŋ ²¹⁴	202	冷	冷	1190	554 1022 801 1155	1287	mand1415
2242	Kunming	cold	lə̃⁵³	l ə̃ ∼ ⁵³	202	冷	冷	1190	554 1020 1191 1185	1287	mand1415
2243	Shanghai	cold	lã¹³	l ã ∼ ¹³	202	冷	冷	1190	554 1014 1191 1168	1287	wuch1236
2244	Shanghai	cold	iŋ³⁵	i ŋ ³⁵	203	瀴	瀴	1191	1076 801 1165	1287	wuch1236
#
1325	Meixian	cook	ʦʰu¹¹sɿ⁴⁴	tsʰ u ¹¹ s ɿ ⁴⁴	893	厨师	厨师	682 683	13 868 1169 89 945 1178	1100	hakk1236
1326	Meixian	cook	fo³¹tʰew¹¹	f o ³¹ tʰ e w ¹¹	897	伙头	伙头	684 685	452 887 1162 138 1089 462 1169	1100	hakk1236
1327	Meixian	cook	kʰi⁴⁴vok⁵sɿ⁴⁴fu⁵³	kʰ i ⁴⁴ v o k ⁵ s ɿ ⁴⁴ f u ⁵³	899	徛镬师傅	徛镬师傅	686 687 683 688	820 1076 1178 451 887 838 1183 89 945 1178 452 868 1185	1100	hakk1236
1328	Changsha	cook	ʨy¹³fan¹³sɿ³³fu	tɕ y ¹³ f a n ¹³ s ɿ ³³ f u	894	厨房师傅	厨房师傅	682 689 683 688	200 1047 1168 452 997 107 1168 89 945 1161 452 868	1100	xian1251
1329	Changsha	cook	taj¹¹sɿ³³fu	t a j ¹¹ s ɿ ³³ f u	901	大师傅	大师傅	690 683 688	120 997 570 1169 89 945 1161 452 868	1100	xian1251
1330	Guiyang	cook	ʦʰu²¹ʦɿ⁴²	tsʰ u ²¹ ts ɿ ⁴²	895	厨子	厨子	682 691	13 868 1152 15 945 1175	1100	mand1415
1331	Xiamen	cook	tɔ³⁵ʦi⁵³saj	t ɔ ³⁵ ts i ⁵³ s a j	896	厨子师	厨子师	682 691 683	120 916 1165 15 1076 1185 89 997 570	1100	minn1241
1332	Hefei	cook	tʰu⁵⁵ʦə	tʰ u ⁵⁵ ts ə	895	厨子	厨子	682 691	138 868 1189 15 1022	1100	mand1415
1333	Jinan	cook	t͡ʂʰu⁴²ʂʅ²¹³	ʈʂʰ u ⁴² ʂ ʅ ²¹³	893	厨师	厨师	682 683	697 868 1175 705 977 1154	1100	mand1415
1334	Hangzhou	cook	ʣy²¹³vɑŋ²¹³sɿ³³vu¹³	dz y ²¹³ v ɑ ŋ ²¹³ s ɿ ³³ v u ¹³	894	厨房师傅	厨房师傅	682 689 683 688	20 1047 1154 451 952 801 1154 89 945 1161 451 868 1168	1100	wuch1236
1335	Guangzhou	cook	hɐw²²wɔk²	h ɐ w ²² w ɔ k ²	902	候镬	候镬	692 687	405 986 462 1150 462 916 838 1149	1100	yuec1235
1336	Nanchang	cook	tʰaj²¹sɿ⁴²fu⁰²	tʰ a j ²¹ s ɿ ⁴² f u ⁰²	901	大师傅	大师傅	690 683 688	138 997 570 1152 89 945 1175 452 868 1172	1100	ganc1239
1337	Chengdu	cook	ʦʰu³¹sɿ⁵⁵	tsʰ u ³¹ s ɿ ⁵⁵	893	厨师	厨师	682 683	13 868 1162 89 945 1189	1100	mand1415
1338	Chengdu	cook	ta¹³sɿ⁵⁵fu¹³	t a ¹³ s ɿ ⁵⁵ f u ¹³	901	大师傅	大师傅	690 683 688	120 997 1168 89 945 1189 452 868 1168	1100	mand1415
1339	Chengdu	cook	ʦaŋ⁵³ʦaw¹³ni⁵⁵	ts a ŋ ⁵³ ts a w ¹³ n i ⁵⁵	903	掌灶的	掌灶的	693 694 695	15 997 801 1185 15 997 462 1168 107 1076 1189	1100	mand1415
1340	Chengdu	cook	ʦaŋ⁵³pʰjaw³¹ni⁵⁵	ts a ŋ ⁵³ pʰ j a w ³¹ n i ⁵⁵	904	掌瓢的	掌瓢的	693 696 695	15 997 801 1185 264 570 997 462 1162 107 1076 1189	1100	mand1415
1341	Taoyuan	cook	ʦwəʔ²fæ̃⁴⁵təʔ	ts w ə ʔ ² f æ̃ ∼ ⁴⁵ t ə ʔ	905	做饭的	做饭的	697 698 695	15 462 1022 409 1149 452 1086 1191 1181 120 1022 409	1100	hakk1236
1342	Taoyuan	cook	ʦʰu¹¹ʦəʔ	tsʰ u ¹¹ ts ə ʔ	895	厨子	厨子	682 691	13 868 1169 15 1022 409	1100	hakk1236
1343	Taoyuan	cook	ta⁴⁵sɿ¹¹fu⁴⁵	t a ⁴⁵ s ɿ ¹¹ f u ⁴⁵	901	大师傅	大师傅	690 683 688	120 997 1181 89 945 1169 452 868 1181	1100	hakk1236
1344	Taoyuan	cook	ər⁴⁵sɿ¹¹fu⁴⁵	ə r ⁴⁵ s ɿ ¹¹ f u ⁴⁵	906	二师傅	二师傅	699 683 688	1022 153 1181 89 945 1169 452 868 1181	1100	hakk1236
1345	Shexian	cook	xo³⁵tʰju	x o ³⁵ tʰ j u	897	伙头	伙头	684 685	778 887 1165 138 570 868	1100	hui1242
1346	Shexian	cook	xo³⁵tʰju⁴⁴sɿ³¹fu³⁵	x o ³⁵ tʰ j u ⁴⁴ s ɿ ³¹ f u ³⁵	898	伙头师傅	伙头师傅	684 685 683 688	778 887 1165 138 570 868 1178 89 945 1162 452 868 1165	1100	hui1242
1347	Beijing	cook	ta⁵¹ʂʅ¹fu¹	t a ⁵¹ ʂ ʅ ¹ f u ¹	901	大师傅	大师傅	690 683 688	120 997 1186 705 977 1166 452 868 1166	1100	mand1415
1348	Beijing	cook	t͡ʂʰu³⁵ʦɿ³	ʈʂʰ u ³⁵ ts ɿ ³	895	厨子	厨子	682 691	697 868 1165 15 945 1158	1100	mand1415
1349	Kunming	cook	t͡ʂʰu³¹ʦɿ⁵³	ʈʂʰ u ³¹ ts ɿ ⁵³	895	厨子	厨子	682 691	697 868 1162 15 945 1185	1100	mand1415
1350	Shanghai	cook	zɿ¹³sɿ⁵³	z ɿ ¹³ s ɿ ⁵³	893	厨师	厨师	682 683	80 945 1168 89 945 1185	1100	wuch1236
1351	Shanghai	cook	sɔ⁵³ve¹³sɿ⁵³vu¹³	s ɔ ⁵³ v e ¹³ s ɿ ⁵³ v u ¹³	909	烧饭司务	烧饭司务	700 698 701 702	89 916 1185 451 1089 1168 89 945 1185 451 868 1168	1100	wuch1236
#
986	Meixian	daughter	moj⁵⁵e³¹	m o j ⁵⁵ e ³¹	709	妹仔	妹仔	491 492	241 887 570 1189 1089 1162	1357	hakk1236
987	Changsha	daughter	ȵy⁴¹	nʲ y ⁴¹	710	女	女	493	101 1047 1177	1357	xian1251
988	Guiyang	daughter	ku⁵⁵ljaŋ⁵⁵	k u ⁵⁵ l j a ŋ ⁵⁵	715	姑娘	姑娘	494 495	838 868 1189 554 570 997 801 1189	1357	mand1415
989	Guiyang	daughter	ku⁵⁵laj²¹	k u ⁵⁵ l a j ²¹	717	姑奶	姑奶	494 496	838 868 1189 554 997 570 1152	1357	mand1415
990	Guiyang	daughter	li⁴²wa²¹wa⁵⁵	l i ⁴² w a ²¹ w a ⁵⁵	711	女娃娃	女娃娃	493 497 497	554 1076 1175 462 997 1152 462 997 1189	1357	mand1415
991	Guiyang	daughter	li⁴²wa²¹ɚ⁵⁵	l i ⁴² w a ²¹ ə˞ ⁵⁵	712	女娃儿	女娃儿	493 497 498	554 1076 1175 462 997 1152 1026 1189	1357	mand1415
992	Xiamen	daughter	ʦa³⁵bɔ⁵³kjã⁵³	ts a ³⁵ b ɔ ⁵³ k j ã ∼ ⁵³	718	查某囝	查某囝	499 500 501	15 997 1165 257 916 1185 838 570 1014 1191 1185	1357	minn1241
993	Hefei	daughter	ja²¹tʰɯ	j a ²¹ tʰ ɯ	721	丫头	丫头	502 503	570 997 1152 138 944	1357	mand1415
994	Jinan	daughter	kwej²¹³ȵy	k w e j ²¹³ nʲ y	722	闺女	闺女	504 493	838 462 1089 570 1154 101 1047	1357	mand1415
995	Guangzhou	daughter	nøɥ²³	n ø ɥ ²³	710	女	女	493	107 1052 458 1151	1357	yuec1235
996	Nanchang	daughter	ȵy²¹³	nʲ y ²¹³	710	女	女	493	101 1047 1154	1357	ganc1239
997	Chengdu	daughter	ȵy⁵³wa³¹ʦɿ	nʲ y ⁵³ w a ³¹ ts ɿ	713	女娃子	女娃子	493 497 505	101 1047 1185 462 997 1162 15 945	1357	mand1415
998	Chengdu	daughter	ku⁵⁵ȵjaŋ³¹ʨja⁵⁵	k u ⁵⁵ nʲ j a ŋ ³¹ tɕ j a ⁵⁵	716	姑娘家	姑娘家	494 495 506	838 868 1189 101 570 997 801 1162 200 570 997 1189	1357	mand1415
999	Taoyuan	daughter	kwej¹¹ny⁵³	k w e j ¹¹ n y ⁵³	722	闺女	闺女	504 493	838 462 1089 570 1169 107 1047 1185	1357	hakk1236
1000	Taoyuan	daughter	ku¹¹njɒ̃¹¹	k u ¹¹ n j ɒ̃ ∼ ¹¹	715	姑娘	姑娘	494 495	838 868 1169 107 570 902 1191 1169	1357	hakk1236
1001	Shexian	daughter	ny³⁵	n y ³⁵	710	女	女	493	107 1047 1165	1357	hui1242
1002	Beijing	daughter	kwej⁵⁵ny²	k w e j ⁵⁵ n y ²	722	闺女	闺女	504 493	838 462 1089 570 1189 107 1047 1149	1357	mand1415
1003	Beijing	daughter	ny²¹⁴ər⁴	n y ²¹⁴ ə r ⁴	714	女儿	女儿	493 498	107 1047 1155 1022 153 1174	1357	mand1415
1004	Kunming	daughter	nwə³¹	n w ə ³¹	723	囡	囡	507	107 462 1022 1162	1357	mand1415
1005	Shanghai	daughter	nø¹³ŋ̍¹³	n ø ¹³ ŋ̍ ¹³	724	囡五	囡五	507 508	107 1052 1168 798 1168	1357	wuch1236
#
1476	Meixian	die	si³¹pʰet¹le	s i ³¹ pʰ e t ¹ l e	988	死撇了	死撇了	789 790 791	89 1076 1162 264 1089 120 1166 554 1089	1494	hakk1236
1477	Changsha	die	sɿ⁴¹kata	s ɿ ⁴¹ k a ⁰ t a	991	死咖哒	死咖哒	789 792 793	89 945 1177 838 997 1171 120 997	1494	xian1251
1478	Changsha	die	ko⁵⁵kata	k o ⁵⁵ k a ⁰ t a	1001	过咖哒委婉语	过咖哒	794 792 793	838 887 1189 838 997 1171 120 997	1494	xian1251
1479	Changsha	die	kwa³³kata	k w a ³³ k a ⁰ t a	1007	瓜咖哒	瓜咖哒	795 792 793	838 462 997 1161 838 997 1171 120 997	1494	xian1251
1480	Changsha	die	tan¹³kata	t a n ¹³ k a ⁰ t a	1008	弹咖哒	弹咖哒	796 792 793	120 997 107 1168 838 997 1171 120 997	1494	xian1251
1481	Guiyang	die	sɿ⁴²əw²¹³	s ɿ ⁴² ə w ²¹³	989	死了	死了	789 791	89 945 1175 1022 462 1154	1494	mand1415
1482	Guiyang	die	ko²¹³sɿ²¹³əw²¹³	k o ²¹³ s ɿ ²¹³ ə w ²¹³	1003	过世了	过世了	794 797 791	838 887 1154 89 945 1154 1022 462 1154	1494	mand1415
1483	Guiyang	die	ʦəw⁴²əw²¹³	ts ə w ⁴² ə w ²¹³	1009	走了	走了	798 791	15 1022 462 1175 1022 462 1154	1494	mand1415
1484	Xiamen	die	si⁵³kʰi	s i ⁵³ kʰ i	992	死去	死去	789 799	89 1076 1185 820 1076	1494	minn1241
1485	Xiamen	die	ke²¹sin⁵⁵	k e ²¹ s i n ⁵⁵	1005	过身	过身	794 800	838 1089 1152 89 1076 107 1189	1494	minn1241
1486	Hefei	die	pəʔ⁵ʦᴇ⁵³lə	p ə ʔ ⁵ ts ɛ ⁵³ l ə	1013	不在了	不在了	801 802 791	291 1022 409 1183 15 1121 1185 554 1022	1494	mand1415
1487	Hefei	die	sɿ²⁴təʔt͡ʂə	s ɿ ²⁴ t ə ʔ ⁰ ʈʂ ə	994	死得之	死得之	789 803 804	89 945 1156 120 1022 409 1171 699 1022	1494	mand1415
1488	Jinan	die	sɿ⁵⁵lja	s ɿ ⁵⁵ l j a	995	死唡	死唡	789 805	89 945 1189 554 570 997	1494	mand1415
1489	Jinan	die	pu²¹³ʦɛ²¹lja	p u ²¹³ ts ɛ ²¹ l j a	1014	不在唡	不在唡	801 802 805	291 868 1154 15 1121 1152 554 570 997	1494	mand1415
1490	Jinan	die	kə²¹ʨʰilja	k ə ²¹ tɕʰ i ⁰ l j a	1004	过去唡	过去唡	794 799 805	838 1022 1152 199 1076 1171 554 570 997	1494	mand1415
1491	Jinan	die	mu⁴²lja	m u ⁴² l j a	1016	殁唡	殁唡	806 805	241 868 1175 554 570 997	1494	mand1415
1492	Jinan	die	lɔ⁵⁵lja	l ɔ ⁵⁵ l j a	1018	老唡	老唡	807 805	554 916 1189 554 570 997	1494	mand1415
1493	Hangzhou	die	sɿ⁵³ljɔ⁵³tə	s ɿ ⁵³ l j ɔ ⁵³ t ə	990	死了得	死了得	789 791 803	89 945 1185 554 570 916 1185 120 1022	1494	wuch1236
1494	Guangzhou	die	sej³⁵ʦɔ³⁵	s e j ³⁵ ts ɔ ³⁵	996	死咗	死咗	789 808	89 1089 570 1165 15 916 1165	1494	yuec1235
1495	Guangzhou	die	kwɔ³³sɐn⁵⁵	k w ɔ ³³ s ɐ n ⁵⁵	1005	过身委婉语	过身	794 800	838 462 916 1161 89 986 107 1189	1494	yuec1235
1496	Nanchang	die	sɿ²¹³pɨʔ⁰⁴ljɛwiɛu⁰⁴	s ɿ ²¹³ p ɨ ʔ ⁰⁴ l j ɛ w ⁰⁴	993	死不了	死不了	789 801 791	89 945 1154 291 983 409 1173 554 570 1121 462 1173	1494	ganc1239
1497	Nanchang	die	kwo⁴⁵sɿ⁴⁵	k w o ⁴⁵ s ɿ ⁴⁵	1002	过世	过世	794 797	838 462 887 1181 89 945 1181	1494	ganc1239
1498	Nanchang	die	ʨʰjɛwiɛu⁴²pʰjɛn²¹ʦɿ⁰²	tɕʰ j ɛ w ⁴² pʰ j ɛ n ²¹ ts ɿ ⁰²	1019	锹辫子	锹辫子	809 810 811	199 570 1121 462 1175 264 570 1121 107 1152 15 945 1172	1494	ganc1239
1499	Chengdu	die	sɿ⁵³no	s ɿ ⁵³ n o	989	死了	死了	789 791	89 945 1185 107 887	1494	mand1415
1500	Chengdu	die	naw⁵³no⁵³	n a w ⁵³ n o ⁵³	1017	老了	老了	807 791	107 997 462 1185 107 887 1185	1494	mand1415
1501	Chengdu	die	ʨʰje¹³no⁵³	tɕʰ j e ¹³ n o ⁵³	1011	去了	去了	799 791	199 570 1089 1168 107 887 1185	1494	mand1415
1502	Chengdu	die	ʨʰjaw⁵⁵kər⁵³	tɕʰ j a w ⁵⁵ k ə r ⁵³	1022	翘跟儿	翘跟	812 813	199 570 997 462 1189 838 1022 153 1185	1494	mand1415
1503	Taoyuan	die	sɿ⁵³lje¹¹	s ɿ ⁵³ l j e ¹¹	997	死咧	死咧	789 814	89 945 1185 554 570 1089 1169	1494	hakk1236
1504	Taoyuan	die	məʔ²la¹¹lje¹¹	m ə ʔ ² l a ¹¹ l j e ¹¹	1024	没拉咧	没拉咧	815 816 814	241 1022 409 1149 554 997 1169 554 570 1089 1169	1494	hakk1236
1505	Taoyuan	die	ʦəw⁵³lje¹¹	ts ə w ⁵³ l j e ¹¹	1010	走咧	走咧	798 814	15 1022 462 1185 554 570 1089 1169	1494	hakk1236
1506	Taoyuan	die	məʔ²lwaʔ²ʦu⁵³	m ə ʔ ² l w a ʔ ² ts u ⁵³	1025	没落住	没落住	815 817 818	241 1022 409 1149 554 462 997 409 1149 15 868 1185	1494	hakk1236
1507	Shexian	die	sɿ³⁵li	s ɿ ³⁵ l i	998	死哩	死哩	789 819	89 945 1165 554 1076	1494	hui1242
1508	Shexian	die	pu²¹ʦʰɛ³⁵li	p u ²¹ tsʰ ɛ ³⁵ l i	1015	不在哩	不在哩	801 802 819	291 868 1152 13 1121 1165 554 1076	1494	hui1242
1509	Shexian	die	ko³²⁴pɛ³²⁴li	k o ³²⁴ p ɛ ³²⁴ l i	1006	过辈哩	过辈哩	794 820 819	838 887 1160 291 1121 1160 554 1076	1494	hui1242
1510	Beijing	die	kɤr²¹⁴lə⁴	k ɤ r ²¹⁴ l ə ⁴	1026	嗝儿了	嗝了	821 791	838 947 153 1155 554 1022 1174	1494	mand1415
1511	Beijing	die	sɿ²¹⁴lə⁴	s ɿ ²¹⁴ l ə ⁴	989	死了	死了	789 791	89 945 1155 554 1022 1174	1494	mand1415
1512	Kunming	die	pu³¹ʦæ²¹²lə	p u ³¹ ts æ ²¹² l ə	1013	不在了	不在了	801 802 791	291 868 1162 15 1087 1153 554 1022	1494	mand1415
1513	Kunming	die	ʨʰjɔ⁴⁴ʨjo³¹lə⁵³	tɕʰ j ɔ ⁴⁴ tɕ j o ³¹ l ə ⁵³	1023	翘脚了贬	翘脚了	812 822 791	199 570 916 1178 200 570 887 1162 554 1022 1185	1494	mand1415
1514	Shanghai	die	ɕi³⁵tʰəʔ⁵ləʔ¹	ɕ i ³⁵ tʰ ə ʔ ⁵ l ə ʔ ¹	999	死脱勒	死脱勒	789 823 824	204 1076 1165 138 1022 409 1183 554 1022 409 1166	1494	wuch1236
1515	Shanghai	die	m̩¹³məʔ⁵ləʔ¹	m̩ ¹³ m ə ʔ ⁵ l ə ʔ ¹	1027	呒没勒	呒没勒	825 815 824	235 1168 241 1022 409 1183 554 1022 409 1166	1494	wuch1236
#
2354	Changsha	dirty	la²⁴tʰa²⁴	l a ²⁴ tʰ a ²⁴	223	邋遢	邋遢	1210 1211	554 997 1156 138 997 1156	1230	xian1251
2355	Changsha	dirty	la⁴¹fu¹³	l a ⁴¹ f u ¹³	224	邋糊	邋糊	1210 1212	554 997 1177 452 868 1168	1230	xian1251
2356	Guiyang	dirty	la²¹tʰa²¹	l a ²¹ tʰ a ²¹	225	腊踏	腊踏	1213 1214	554 997 1152 138 997 1152	1230	mand1415
2357	Guiyang	dirty	ʦaŋ⁵⁵	ts a ŋ ⁵⁵	226	脏	脏	1215	15 997 801 1189	1230	mand1415
2358	Xiamen	dirty	law³⁵sjɔŋ³⁵	l a w ³⁵ s j ɔ ŋ ³⁵	228	流疡	流疡	1216 1217	554 997 462 1165 89 570 916 801 1165	1230	minn1241
2359	Hefei	dirty	ʦɑ̃	ts ɑ̃ ∼	226	脏	脏	1215	15 951 1191	1230	mand1415
2360	Hefei	dirty	ʂəʔ⁵ləŋ	ʂ ə ʔ ⁵ l ə ŋ	229	拾弄	拾弄	1218 1219	705 1022 409 1183 554 1022 801	1230	mand1415
2361	Hefei	dirty	u²¹ʦɔ	u ²¹ ts ɔ	230	污糟	污糟	1220 1221	868 1152 15 916	1230	mand1415
2362	Jinan	dirty	ʦaŋ²¹³	ts a ŋ ²¹³	226	脏	脏	1215	15 997 801 1154	1230	mand1415
2363	Jinan	dirty	la²¹³tʰa	l a ²¹³ tʰ a	223	邋遢	邋遢	1210 1211	554 997 1154 138 997	1230	mand1415
2364	Jinan	dirty	ŋa²¹³ʦa	ŋ a ²¹³ ts a	232	腌臜	腌臜	1222 1223	801 997 1154 15 997	1230	mand1415
2365	Hangzhou	dirty	foŋ⁴⁴⁵	f o ŋ ⁴⁴⁵	233	埲	埲	1224	452 887 801 1180	1230	wuch1236
2366	Hangzhou	dirty	ʔoʔ⁵ʦʰoʔ⁵	ʔ o ʔ ⁵ tsʰ o ʔ ⁵	234	龌龊	龌龊	1225 1226	409 887 409 1183 13 887 409 1183	1230	wuch1236
2367	Guangzhou	dirty	wu⁵⁵ʦow⁵³	w u ⁵⁵ ts o w ⁵³	230	污糟	污糟	1220 1221	462 868 1189 15 887 462 1185	1230	yuec1235
2368	Guangzhou	dirty	lat²tʰat³	l a t ² tʰ a t ³	223	邋遢	邋遢	1210 1211	554 997 120 1149 138 997 120 1158	1230	yuec1235
2369	Nanchang	dirty	ŋɑ⁴²ʦɑ⁰²	ŋ ɑ ⁴² ts ɑ ⁰²	232	腌臜	腌臜	1222 1223	801 952 1175 15 952 1172	1230	ganc1239
2370	Nanchang	dirty	laʔ⁵tʰaʔ⁰²	l a ʔ ⁵ tʰ a ʔ ⁰²	223	邋遢	邋遢	1210 1211	554 997 409 1183 138 997 409 1172	1230	ganc1239
2371	Chengdu	dirty	ʦaŋ⁵⁵	ts a ŋ ⁵⁵	226	脏	脏	1215	15 997 801 1189	1230	mand1415
2372	Chengdu	dirty	ɕi⁵⁵ʦaŋ⁵⁵	ɕ i ⁵⁵ ts a ŋ ⁵⁵	235	稀脏	稀脏	1227 1215	204 1076 1189 15 997 801 1189	1230	mand1415
2373	Chengdu	dirty	o³¹ʦʰo³¹	o ³¹ tsʰ o ³¹	234	龌龊	龌龊	1225 1226	887 1162 13 887 1162	1230	mand1415
2374	Chengdu	dirty	na³¹tʰa³¹	n a ³¹ tʰ a ³¹	223	邋遢	邋遢	1210 1211	107 997 1162 138 997 1162	1230	mand1415
2375	Chengdu	dirty	wa⁵⁵njan³¹	w a ⁵⁵ n j a n ³¹	236	哇连	哇连	1228 1229	462 997 1189 107 570 997 107 1162	1230	mand1415
2376	Taoyuan	dirty	zəʔ²ʦɒ̃¹¹	z ə ʔ ² ts ɒ̃ ∼ ¹¹	237	日脏	日脏	1230 1215	80 1022 409 1149 15 902 1191 1169	1230	hakk1236
2377	Taoyuan	dirty	ɣa¹¹ʦa¹¹	ɣ a ¹¹ ts a ¹¹	231	腌脏	腌脏	1222 1215	780 997 1169 15 997 1169	1230	hakk1236
2378	Shexian	dirty	la²¹tʰaʔ²¹	l a ²¹ tʰ a ʔ ²¹	223	邋遢	邋遢	1210 1211	554 997 1152 138 997 409 1152	1230	hui1242
2379	Beijing	dirty	ʦɑŋ⁵⁵	ts ɑ ŋ ⁵⁵	226	脏	脏	1215	15 952 801 1189	1230	mand1415
2380	Kunming	dirty	ʦᴀ̃⁴⁴	ts ã ∼ ⁴⁴	226	脏	脏	1215	15 1014 1191 1178	1230	mand1415
2381	Kunming	dirty	ʦᴀ̃⁴⁴pᴀ⁴⁴lᴀ⁴⁴ʂʅ⁴⁴	ts ã ∼ ⁴⁴ p a ⁴⁴ l a ⁴⁴ ʂ ʅ ⁴⁴	227	脏巴拉尸	脏巴拉尸	1215 1231 1232 1233	15 1014 1191 1178 291 997 1178 554 997 1178 705 977 1178	1230	mand1415
2382	Shanghai	dirty	oʔ⁵ʦʰoʔ⁵	o ʔ ⁵ tsʰ o ʔ ⁵	234	龌龊	龌龊	1225 1226	887 409 1183 13 887 409 1183	1230	wuch1236
#
1299	Meixian	doctor	i⁴⁴sen⁴⁴	i ⁴⁴ s e n ⁴⁴	886	医生	医生	673 674	1076 1178 89 1089 107 1178	597	hakk1236
1300	Changsha	doctor	i³³sən³³	i ³³ s ə n ³³	886	医生	医生	673 674	1076 1161 89 1022 107 1161	597	xian1251
1301	Changsha	doctor	lan¹³t͡ʂoŋ³³	l a n ¹³ ʈʂ o ŋ ³³	888	郎中	郎中	675 676	554 997 107 1168 699 887 801 1161	597	xian1251
1302	Guiyang	doctor	i⁵⁵sen⁵⁵	i ⁵⁵ s e n ⁵⁵	886	医生	医生	673 674	1076 1189 89 1089 107 1189	597	mand1415
1303	Guiyang	doctor	i⁵⁵sɿ⁵⁵	i ⁵⁵ s ɿ ⁵⁵	887	医师	医师	673 677	1076 1189 89 945 1189	597	mand1415
1304	Guiyang	doctor	ɕjan⁵⁵sen⁵⁵	ɕ j a n ⁵⁵ s e n ⁵⁵	889	先生	先生	678 674	204 570 997 107 1189 89 1089 107 1189	597	mand1415
1305	Xiamen	doctor	i⁵⁵siŋ⁵⁵	i ⁵⁵ s i ŋ ⁵⁵	886	医生	医生	673 674	1076 1189 89 1076 801 1189	597	minn1241
1306	Xiamen	doctor	sjan⁵⁵sĩ⁵⁵	s j a n ⁵⁵ s ĩ ∼ ⁵⁵	889	先生	先生	678 674	89 570 997 107 1189 89 1078 1191 1189	597	minn1241
1307	Hefei	doctor	zɿ²¹sən	z ɿ ²¹ s ə n	886	医生	医生	673 674	80 945 1152 89 1022 107	597	mand1415
1308	Jinan	doctor	tɛ²¹fu	t ɛ ²¹ f u	890	大夫	大夫	679 680	120 1121 1152 452 868	597	mand1415
1309	Jinan	doctor	ɕjã²¹³ʂəŋ	ɕ j ã ∼ ²¹³ ʂ ə ŋ	889	先生	先生	678 674	204 570 1014 1191 1154 705 1022 801	597	mand1415
1310	Hangzhou	doctor	ʔi³³sen³³	ʔ i ³³ s e n ³³	886	医生	医生	673 674	409 1076 1161 89 1089 107 1161	597	wuch1236
1311	Hangzhou	doctor	lɑŋ²¹³ʦoŋ³³	l ɑ ŋ ²¹³ ts o ŋ ³³	892	郞中	郞中	681 676	554 952 801 1154 15 887 801 1161	597	wuch1236
1312	Guangzhou	doctor	ji⁵⁵sɐŋ⁵⁵	j i ⁵⁵ s ɐ ŋ ⁵⁵	886	医生	医生	673 674	570 1076 1189 89 986 801 1189	597	yuec1235
1313	Nanchang	doctor	i⁴²sɛn⁴²	i ⁴² s ɛ n ⁴²	886	医生	医生	673 674	1076 1175 89 1121 107 1175	597	ganc1239
1314	Nanchang	doctor	lɔŋ⁴⁵ʦuŋ⁴²	l ɔ ŋ ⁴⁵ ts u ŋ ⁴²	888	郎中	郎中	675 676	554 916 801 1181 15 868 801 1175	597	ganc1239
1315	Chengdu	doctor	i⁵⁵sən⁵⁵	i ⁵⁵ s ə n ⁵⁵	886	医生	医生	673 674	1076 1189 89 1022 107 1189	597	mand1415
1316	Taoyuan	doctor	ɕje¹¹səŋ¹¹	ɕ j e ¹¹ s ə ŋ ¹¹	889	先生	先生	678 674	204 570 1089 1169 89 1022 801 1169	597	hakk1236
1317	Taoyuan	doctor	i¹¹səŋ¹¹	i ¹¹ s ə ŋ ¹¹	886	医生	医生	673 674	1076 1169 89 1022 801 1169	597	hakk1236
1318	Taoyuan	doctor	taj⁵³fu¹¹	t a j ⁵³ f u ¹¹	890	大夫	大夫	679 680	120 997 570 1185 452 868 1169	597	hakk1236
1319	Shexian	doctor	se³¹sɛ	s e ³¹ s ɛ	889	先生	先生	678 674	89 1089 1162 89 1121	597	hui1242
1320	Shexian	doctor	la⁴⁴ʦʌ̃³¹	l a ⁴⁴ ts ʌ̃ ∼ ³¹	888	郎中	郎中	675 676	554 997 1178 15 957 1191 1162	597	hui1242
1321	Beijing	doctor	i⁵⁵ʂəŋ²	i ⁵⁵ ʂ ə ŋ ²	886	医生	医生	673 674	1076 1189 705 1022 801 1149	597	mand1415
1322	Beijing	doctor	taj⁵¹fu¹	t a j ⁵¹ f u ¹	890	大夫	大夫	679 680	120 997 570 1186 452 868 1166	597	mand1415
